dataset_name,resource_name,url,header_row
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees 2020,https://seshat.datasd.org/election_committees_transactions/financial_support_2020_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2019),https://seshat.datasd.org/election_committees_transactions/financial_support_2019_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2018),https://seshat.datasd.org/election_committees_transactions/financial_support_2018_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2017),https://seshat.datasd.org/election_committees_transactions/financial_support_2017_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2016),https://seshat.datasd.org/election_committees_transactions/financial_support_2016_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2015),https://seshat.datasd.org/election_committees_transactions/financial_support_2015_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2014),https://seshat.datasd.org/election_committees_transactions/financial_support_2014_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2013),https://seshat.datasd.org/election_committees_transactions/financial_support_2013_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2012),https://seshat.datasd.org/election_committees_transactions/financial_support_2012_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees (2011),https://seshat.datasd.org/election_committees_transactions/financial_support_2011_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
