"account_type","account_class","account_group","account","account_number"
"Non-Personnel","Contracts & Services","External Contracts & Services","EMS Pro Pay Reimb","512207"
"Non-Personnel","Contracts & Services","External Contracts & Services","Engineering Services","512034"
"Non-Personnel","Contracts & Services","External Contracts & Services","Environmental Impact Services","512035"
"Non-Personnel","Contracts & Services","External Contracts & Services","Environmental Review","512227"
"Non-Personnel","Contracts & Services","External Contracts & Services","Equipment Rental","512036"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Audit Services","512037"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Certification/Licenses","512038"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-County Recording","512039"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Hazmat","512040"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Investment","512041"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Legal","512042"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Membership","512043"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Music License","512044"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Notary Services","512045"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fees-Permits","512047"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fines/Penalties","512046"
"Non-Personnel","Contracts & Services","External Contracts & Services","Fleet Services Additional Vehicle Purchases","512099"
"Non-Personnel","Contracts & Services","External Contracts & Services","Funded Interest","512208"
"Non-Personnel","Contracts & Services","External Contracts & Services","Grant - Unauthorized","512213"
"Non-Personnel","Contracts & Services","External Contracts & Services","Graphics","512083"
"Non-Personnel","Contracts & Services","External Contracts & Services","Graphics and Photography","512078"
"Non-Personnel","Contracts & Services","External Contracts & Services","Half-Size Plans-Outside","512090"
"Non-Personnel","Contracts & Services","External Contracts & Services","Hazmat Facilities Service","512103"
"Non-Personnel","Contracts & Services","External Contracts & Services","Heating, Ventilation, A/C Services","512170"
"Non-Personnel","Contracts & Services","External Contracts & Services","Insurance","512048"
"Non-Personnel","Contracts & Services","External Contracts & Services","Insurance-Fidelity and General","512105"
"Non-Personnel","Contracts & Services","External Contracts & Services","Insurance-Fire","512106"
"Non-Personnel","Contracts & Services","External Contracts & Services","Insurance-Other","512107"
"Non-Personnel","Contracts & Services","External Contracts & Services","Interview Travel","512050"
"Non-Personnel","Contracts & Services","External Contracts & Services","Investment Management Services","512165"
"Non-Personnel","Contracts & Services","External Contracts & Services","Landscaping Services","512134"
"Non-Personnel","Contracts & Services","External Contracts & Services","Laundry Services","512156"
"Non-Personnel","Contracts & Services","External Contracts & Services","Lead Safe Neighborhood","512164"
"Non-Personnel","Contracts & Services","External Contracts & Services","Lease Expense","512051"
"Non-Personnel","Contracts & Services","External Contracts & Services","Lease Settlement Expense","512052"
"Non-Personnel","Contracts & Services","External Contracts & Services","Leasing/Purchase","512053"
"Non-Personnel","Contracts & Services","External Contracts & Services","Lithography Services","512086"
"Non-Personnel","Contracts & Services","External Contracts & Services","Loan Repayments","512202"
"Non-Personnel","Contracts & Services","External Contracts & Services","Lobby Contract","512109"
"Non-Personnel","Contracts & Services","External Contracts & Services","Low Income Housing Loan","512226"
"Non-Personnel","Contracts & Services","External Contracts & Services","Low Value Assets","512236"
"Non-Personnel","Contracts & Services","External Contracts & Services","Maintenance- Buildings, Roads, Equipmen","512055"
"Non-Personnel","Contracts & Services","External Contracts & Services","Maint & Janitorial Services","512158"
"Non-Personnel","Contracts & Services","External Contracts & Services","Map Check - Consultant","512152"
"Non-Personnel","Contracts & Services","External Contracts & Services","Meals-Auth Emer O/T","512058"
"Non-Personnel","Contracts & Services","External Contracts & Services","Meals With City Employees","512056"
"Non-Personnel","Contracts & Services","External Contracts & Services","Meals With Non-City Employees","512057"
"Non-Personnel","Contracts & Services","External Contracts & Services","Meetings","512237"
"Non-Personnel","Contracts & Services","External Contracts & Services","Miscellaneous Professional/Technical Ser","512059"
"Non-Personnel","Contracts & Services","External Contracts & Services","Miscellaneous Services Non Disc - Others","512110"
"Non-Personnel","Contracts & Services","External Contracts & Services","Misc. Fees & Charges","512186"
"Non-Personnel","Contracts & Services","External Contracts & Services","Mitigation Payments","512203"
"Non-Personnel","Contracts & Services","External Contracts & Services","Moving Expense Allowance","512060"
"Non-Personnel","Contracts & Services","External Contracts & Services","Negotiated Settlement","512182"
"Non-Personnel","Contracts & Services","External Contracts & Services","OCIP","512061"
"Non-Personnel","Contracts & Services","External Contracts & Services","Other Lease Housing Exp","512136"
"Non-Personnel","Contracts & Services","External Contracts & Services","Other Non Personnel - Excess","512178"
"Non-Personnel","Contracts & Services","External Contracts & Services","Other Non-Personnel Expense","512142"
"Non-Personnel","Contracts & Services","External Contracts & Services","Other Non Personnel - Unauthorized","512179"
"Non-Personnel","Contracts & Services","External Contracts & Services","Outside Bindery Services","512089"
"Non-Personnel","Contracts & Services","External Contracts & Services","Outside Graphics","512085"
"Non-Personnel","Contracts & Services","External Contracts & Services","Outside Quick Copy","512084"
"Non-Personnel","Contracts & Services","External Contracts & Services","Paramedic Management Fee","512062"
"Non-Personnel","Contracts & Services","External Contracts & Services","Paramedic Mgmt Fee - Fixed","512135"
"Non-Personnel","Contracts & Services","External Contracts & Services","Paramedic Operating Payment","512063"
"Non-Personnel","Contracts & Services","External Contracts & Services","Parking Citations","512144"
"Non-Personnel","Contracts & Services","External Contracts & Services","Parking Stamps","512064"
"Non-Personnel","Contracts & Services","External Contracts & Services","Payments to CalTrans","512176"
"Non-Personnel","Contracts & Services","External Contracts & Services","Pending Council Action - Auditors","512180"
"Non-Personnel","Contracts & Services","External Contracts & Services","Petty Cash Advance","512211"
"Non-Personnel","Contracts & Services","External Contracts & Services","Photography","512081"
"Non-Personnel","Contracts & Services","External Contracts & Services","POST Training Travel","512140"
"Non-Personnel","Contracts & Services","External Contracts & Services","PR 2000 System Imp Charge","512148"
"Non-Personnel","Contracts & Services","External Contracts & Services","Pre RU90 Med Costs","512163"
"Non-Personnel","Contracts & Services","External Contracts & Services","Printing-Outside Contract","512082"
"Non-Personnel","Contracts & Services","External Contracts & Services","Promotional Advertising","512138"
"Non-Personnel","Contracts & Services","External Contracts & Services","Promotion/Recognition - City Employees","512175"
"Non-Personnel","Contracts & Services","External Contracts & Services","Promotion/Recognition Non-City Employees","512174"
"Non-Personnel","Contracts & Services","External Contracts & Services","Property Acquisition","512204"
"Non-Personnel","Contracts & Services","External Contracts & Services","Property Acquisition Appraisal & Misc Ex","512205"
"Non-Personnel","Contracts & Services","External Contracts & Services","Real Estate Management Services","512166"
"Non-Personnel","Contracts & Services","External Contracts & Services","Rebate Program Commercial","512201"
"Non-Personnel","Contracts & Services","External Contracts & Services","Redemption Trans Coupons","512065"
"Non-Personnel","Contracts & Services","External Contracts & Services","Rehabilitation Loan","512225"
"Non-Personnel","Contracts & Services","External Contracts & Services","Reimburse Charger Parking","512130"
"Non-Personnel","Contracts & Services","External Contracts & Services","Reimbursement Agreements","512066"
"Non-Personnel","Contracts & Services","External Contracts & Services","Reimbursement Agreements-Fringe Benefits","512248"
"Non-Personnel","Contracts & Services","External Contracts & Services","Reimbursement Agreements-Personnel","512247"
"Non-Personnel","Contracts & Services","External Contracts & Services","Reimburse Socker Concess","512129"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relo Bus Actual Move","512191"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relo Bus In-Lieu","512193"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relo Bus Re-Estab Cost","512194"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense - Bus Prop Cost","512221"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense - Bus Re-Est Cost","512218"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense -  Bus Search","512222"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense - Other","512224"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense - RHP Close Costs","512220"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense -  RHP Price Dif","512219"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relocation Expense -  RHP Rental","512223"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relo Res Actual Move","512189"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relo Res Fixed Move","512190"
"Non-Personnel","Contracts & Services","External Contracts & Services","Relo RHP Downpayment","512192"
"Non-Personnel","Contracts & Services","External Contracts & Services","Rent Expense","512067"
"Non-Personnel","Contracts & Services","External Contracts & Services","Rent Expense (Non-Discretionary)","512217"
"Non-Personnel","Contracts & Services","External Contracts & Services","Rent to Owners","512137"
"Non-Personnel","Contracts & Services","External Contracts & Services","Repair & Maintenance Services","512159"
"Non-Personnel","Contracts & Services","External Contracts & Services","Research and Studies","512161"
"Non-Personnel","Contracts & Services","External Contracts & Services","Rewards","512238"
"Non-Personnel","Contracts & Services","External Contracts & Services","S7W Participation - Retro Pay","512146"
"Non-Personnel","Contracts & Services","External Contracts & Services","Security Services","512075"
"Non-Personnel","Contracts & Services","External Contracts & Services","Small Differences between Receiver & Inv","512068"
"Non-Personnel","Contracts & Services","External Contracts & Services","Spec Home Maintenance","512206"
"Non-Personnel","Contracts & Services","External Contracts & Services","Storage Tank Fees","512128"
"Non-Personnel","Contracts & Services","External Contracts & Services","Street Damage Fees (Street Preservation Ordinance)","512091"
"Non-Personnel","Contracts & Services","External Contracts & Services","Street Sweeping","512188"
"Non-Personnel","Contracts & Services","External Contracts & Services","Suggestion Awards","512069"
"Non-Personnel","Contracts & Services","External Contracts & Services","Tenant Event Staffing","512171"
"Non-Personnel","Contracts & Services","External Contracts & Services","Title Search - Property Sales","512199"
"Non-Personnel","Contracts & Services","External Contracts & Services","Training-In Town","512070"
"Non-Personnel","Contracts & Services","External Contracts & Services","Training-Out Of Town","512071"
"Non-Personnel","Contracts & Services","External Contracts & Services","Training - Vol Certificate","512184"
"Non-Personnel","Contracts & Services","External Contracts & Services","Travel-Non Training","512072"
"Non-Personnel","Contracts & Services","External Contracts & Services","Travel-Training","512073"
"Non-Personnel","Contracts & Services","External Contracts & Services","Tree Trimming Services","512197"
"Non-Personnel","Contracts & Services","External Contracts & Services","Typesetting Services","512087"
"Non-Personnel","Contracts & Services","External Contracts & Services","Unallocated Reserve","512132"
"Non-Personnel","Contracts & Services","External Contracts & Services","Underground Storage Tank Maintenance","512214"
"Non-Personnel","Contracts & Services","External Contracts & Services","Underground Storage Tank Supply","512113"
"Non-Personnel","Contracts & Services","External Contracts & Services","Undistributed Budget","512117"
"Non-Personnel","Contracts & Services","External Contracts & Services","Voc Rehab Eval Pmts","512147"
"Non-Personnel","Contracts & Services","External Contracts & Services","Waste Removal/Disposal Services","512157"
"Non-Personnel","Contracts & Services","Internal Contracts & Services","1 Day Trips-Less Than 200 Miles","512000"
"Non-Personnel","Contracts & Services","Internal Contracts & Services","Assurance Program Reserve","512141"
"Non-Personnel","Contracts & Services","Internal Contracts & Services","Balboa Quick Print Service","512079"
"Non-Personnel","Contracts & Services","Internal Contracts & Services","City Services Billed","512114"
"Non-Personnel","Contracts & Services","Internal Contracts & Services","Claims-Wrkmn Comp Emplee Bene Disability","512229"
"Non-Personnel","Contracts & Services","Internal Contracts & Services","Claims-Wrkmn Comp Emplee Bene Misc Reimb","512228"
